path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"/mnt/data/kos_corpus/dreamcast/2ndmix/2ndmix.elf",1,1219,1219,0,0,88918,88918,0,4373,1054,1,120,0,126,"",""
"/mnt/data/kos_corpus/dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,0,0,87117,87117,0,4282,1021,1,3,0,2,"",""
"/mnt/data/kos_corpus/dreamcast/basic/breaking/breaking.elf",1,1214,1214,0,0,87951,87951,0,4325,1031,1,45,0,35,"",""
"/mnt/data/kos_corpus/dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,0,0,87234,87234,0,4293,1023,1,82,0,69,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/exec.elf",1,1208,1208,0,0,87114,87114,0,4284,1020,1,102,0,72,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/sub.elf",1,1207,1207,0,0,87070,87070,0,4277,1019,1,1,0,1,"",""
"/mnt/data/kos_corpus/dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,0,0,87394,87394,0,4296,1031,1,66,0,42,"",""
"/mnt/data/kos_corpus/dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,0,0,87317,87317,0,4300,1038,1,16,0,27,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,0,0,87234,87234,0,4296,1021,1,31,0,18,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,0,0,87315,87315,0,4300,1021,1,38,0,28,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,0,0,87151,87151,0,4286,1021,1,57,0,35,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,0,0,87075,87075,0,4278,1019,1,3,0,0,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,0,0,88016,88016,0,4346,1039,1,54,0,55,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,0,0,87864,87864,0,4342,1044,1,55,0,42,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,0,0,87356,87356,0,4306,1038,1,38,0,38,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,0,0,87531,87531,0,4353,1074,1,49,0,69,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/once/once_test.elf",1,1215,1215,0,0,87600,87600,0,4327,1027,1,63,0,34,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,0,0,87411,87411,0,4335,1049,1,78,0,77,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/reentrant_mutex/reentrant_mutex.elf",1,1214,1214,0,0,87652,87652,0,4327,1035,1,49,0,26,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/rwsem/rwsem_test.elf",1,1223,1223,0,0,88181,88181,0,4396,1068,1,80,0,80,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/spinlock_test/spinlock_test.elf",1,1210,1210,0,0,87704,87704,0,4314,1048,1,38,0,24,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/tls/tls_test.elf",1,1220,1220,0,0,88001,88001,0,4367,1044,1,110,0,97,"",""
"/mnt/data/kos_corpus/dreamcast/basic/watchdog/watchdog.elf",1,1213,1213,0,0,87343,87343,0,4301,1033,1,68,0,41,"",""
"/mnt/data/kos_corpus/dreamcast/cdrom/stream/cd-stream-test.elf",1,1210,1210,0,0,87479,87479,0,4329,1052,1,49,0,69,"",""
"/mnt/data/kos_corpus/dreamcast/conio/adventure/adventure.elf",1,1286,1286,0,0,96285,96285,0,4743,1184,1,165,0,221,"",""
"/mnt/data/kos_corpus/dreamcast/conio/basic/basic.elf",1,1228,1228,0,0,88528,88528,0,4363,1046,1,68,0,41,"",""
"/mnt/data/kos_corpus/dreamcast/conio/kosh/kosh.elf",1,1265,1265,0,0,90331,90331,0,4517,1101,1,112,0,105,"",""
"/mnt/data/kos_corpus/dreamcast/conio/wump/wump.elf",1,1240,1240,0,0,91042,91042,0,4488,1115,1,115,0,129,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/clock/clock.elf",1,1449,1449,0,0,105266,105266,0,4948,1195,1,130,0,81,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/concurrency/concurrency.elf",1,2627,2627,0,0,210135,210135,0,10235,2827,1,141,0,88,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/dcplib/fnt_test.elf",1,1442,1442,0,0,105278,105278,0,4949,1201,1,130,0,82,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/gltest/gltest.elf",1,1522,1522,0,0,121474,121474,0,5198,1292,1,196,0,175,"",""
