path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"/mnt/data/kos_corpus/dreamcast/2ndmix/2ndmix.elf",1,1219,1219,72,0,89563,88195,1368,4377,1054,1,88,87,122,"",""
"/mnt/data/kos_corpus/dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,65,0,87775,86684,1091,4287,1022,1,3,0,2,"",""
"/mnt/data/kos_corpus/dreamcast/basic/breaking/breaking.elf",1,1214,1214,65,0,88596,87505,1091,4329,1031,1,41,30,40,"",""
"/mnt/data/kos_corpus/dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,66,0,87879,86781,1098,4297,1023,1,47,31,44,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/exec.elf",1,1208,1208,65,0,87763,86672,1091,4288,1020,1,92,25,109,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/sub.elf",1,1207,1207,65,0,87715,86624,1091,4281,1019,1,1,0,1,"",""
"/mnt/data/kos_corpus/dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,69,0,88039,86870,1169,4300,1031,1,59,52,61,"",""
"/mnt/data/kos_corpus/dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,65,0,87962,86871,1091,4304,1038,1,15,0,28,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,65,0,87880,86789,1091,4300,1021,1,27,23,31,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,65,0,87960,86869,1091,4304,1021,1,33,23,41,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,65,0,87798,86707,1091,4290,1021,1,52,52,45,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,65,0,87720,86629,1091,4282,1019,1,3,0,0,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,67,0,88661,87543,1118,4350,1039,1,48,79,69,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,66,0,88509,87409,1100,4346,1044,1,49,39,55,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,66,0,88001,86903,1098,4310,1038,1,34,37,44,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,65,0,88176,87085,1091,4357,1074,1,43,22,92,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/once/once_test.elf",1,1215,1215,65,0,88245,87154,1091,4331,1027,1,56,30,52,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,65,0,88056,86965,1091,4339,1049,1,52,22,71,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/reentrant_mutex/reentrant_mutex.elf",1,1214,1214,68,0,88297,87192,1105,4331,1035,1,43,38,43,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/rwsem/rwsem_test.elf",1,1223,1223,65,0,88826,87735,1091,4400,1068,1,54,22,76,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/spinlock_test/spinlock_test.elf",1,1210,1210,65,0,88349,87258,1091,4318,1048,1,34,30,29,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/tls/tls_test.elf",1,1220,1220,66,0,88646,87552,1094,4371,1044,1,82,52,95,"",""
"/mnt/data/kos_corpus/dreamcast/basic/watchdog/watchdog.elf",1,1213,1213,66,0,87988,86894,1094,4305,1033,1,61,30,62,"",""
"/mnt/data/kos_corpus/dreamcast/cdrom/stream/cd-stream-test.elf",1,1210,1210,65,0,88124,87033,1091,4333,1052,1,43,22,80,"",""
"/mnt/data/kos_corpus/dreamcast/conio/adventure/adventure.elf",1,1286,1286,70,0,96940,95661,1279,4747,1184,1,136,30,224,"",""
"/mnt/data/kos_corpus/dreamcast/conio/basic/basic.elf",1,1228,1228,70,0,89181,87902,1279,4367,1046,1,60,22,66,"",""
"/mnt/data/kos_corpus/dreamcast/conio/kosh/kosh.elf",1,1265,1265,70,0,91010,89731,1279,4522,1101,1,76,22,99,"",""
"/mnt/data/kos_corpus/dreamcast/conio/wump/wump.elf",1,1240,1240,70,0,91695,90416,1279,4492,1115,1,86,30,126,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/clock/clock.elf",1,1449,1449,87,0,106000,104497,1503,4962,1198,1,123,79,111,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/concurrency/concurrency.elf",1,2627,2627,116,0,210839,209296,1543,10249,2830,1,134,58,128,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/dcplib/fnt_test.elf",1,1442,1442,86,0,106016,104536,1480,4963,1204,1,123,90,112,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/gltest/gltest.elf",1,1522,1522,140,0,122184,117535,4649,5212,1295,1,175,1893,208,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/modplug_test/example.elf",1,1574,1574,101,0,141271,138216,3055,5215,1244,1,127,30,243,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/out_of_memory/out_of_memory.elf",1,1674,1674,65,0,142057,141210,847,6297,1893,1,125,55,105,"",""
"/mnt/data/kos_corpus/dreamcast/dev/devroot/devroot.elf",1,1216,1216,65,0,88137,87046,1091,4321,1027,1,26,0,35,"",""
