path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"/mnt/data/kos_corpus/dreamcast/2ndmix/2ndmix.elf",1,1219,1219,39,0,89563,89355,208,4377,1054,1,88,11,122,"",""
"/mnt/data/kos_corpus/dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,32,0,87775,87622,153,4287,1022,1,3,0,2,"",""
"/mnt/data/kos_corpus/dreamcast/basic/breaking/breaking.elf",1,1214,1214,32,0,88596,88443,153,4329,1031,1,41,0,40,"",""
"/mnt/data/kos_corpus/dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,33,0,87879,87724,155,4297,1023,1,47,4,44,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/exec.elf",1,1208,1208,32,0,87763,87610,153,4288,1020,1,92,3,109,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/sub.elf",1,1207,1207,32,0,87715,87562,153,4281,1019,1,1,0,1,"",""
"/mnt/data/kos_corpus/dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,32,0,88039,87886,153,4300,1031,1,59,0,61,"",""
"/mnt/data/kos_corpus/dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,32,0,87962,87809,153,4304,1038,1,15,0,28,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,32,0,87880,87727,153,4300,1021,1,27,1,31,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,32,0,87960,87807,153,4304,1021,1,33,1,41,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,32,0,87798,87645,153,4290,1021,1,52,0,45,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,32,0,87720,87567,153,4282,1019,1,3,0,0,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,34,0,88661,88481,180,4350,1039,1,48,27,69,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,33,0,88509,88347,162,4346,1044,1,49,9,55,"",""
