path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"dreamcast/gldc/benchmarks/trimark/trimark.elf",1,1274,1274,135,0,98113,94746,3367,4438,1083,1,114,830,129,"",""
"dreamcast/gldc/benchmarks/tristripmark/tristripmark.elf",1,1274,1274,135,0,98121,94749,3372,4439,1085,1,114,830,129,"",""
"dreamcast/gldc/nehe/nehe02/nehe02.elf",1,1279,1279,141,0,100240,96163,4077,4444,1081,1,109,1562,123,"",""
"dreamcast/gldc/nehe/nehe05/nehe05.elf",1,1290,1290,150,0,101635,96862,4773,4515,1135,1,114,1598,123,"",""
"dreamcast/gldc/nehe/nehe06/nehe06.elf",1,1322,1322,164,0,107595,102443,5152,4640,1142,1,144,1912,158,"",""
"dreamcast/gldc/nehe/nehe08/nehe08.elf",1,1328,1328,168,0,108029,102823,5206,4661,1155,1,154,2835,239,"",""
"dreamcast/gldc/nehe/nehe09/nehe09.elf",1,1323,1323,164,0,107833,102710,5123,4623,1116,1,181,3077,232,"",""
"dreamcast/gldc/nehe/nehe16/nehe16.elf",1,1331,1331,171,0,108689,103319,5370,4688,1155,1,189,3498,275,"",""
"dreamcast/gldc/nehe/nehe26/nehe26.elf",1,1296,1296,153,0,102072,97291,4781,4497,1096,1,162,2834,204,"",""
"dreamcast/hello/hello.elf",1,1207,1207,81,0,87787,86487,1300,4281,1019,1,1,0,1,"",""
"dreamcast/keyboard/keyrawtest/keyrawtest.elf",1,1208,1208,81,0,88134,86834,1300,4299,1020,1,24,95,30,"",""
"dreamcast/keyboard/keytest/keytest.elf",1,1209,1209,81,0,88148,86848,1300,4306,1022,1,21,79,28,"",""
"dreamcast/kgl/basic/elements/gl-elements.elf",1,1295,1295,103,0,105696,100484,5212,4554,1080,1,70,205,56,"",""
"dreamcast/kgl/basic/gl/gltest.elf",1,1310,1310,117,0,96464,93340,3124,4619,1150,1,129,625,181,"",""
"dreamcast/kgl/basic/scissor/scissor.elf",1,1315,1315,122,0,96819,93574,3245,4633,1155,1,128,471,119,"",""
"dreamcast/kgl/basic/txrenv/gltest.elf",1,1309,1309,116,0,96018,93135,2883,4534,1081,1,43,166,50,"",""
"dreamcast/kgl/basic/vq/vq-example.elf",1,1293,1293,115,0,94460,91366,3094,4542,1130,1,56,209,49,"",""
"dreamcast/kgl/basic/zclip_arrays/gl-arrays.elf",1,1293,1293,101,0,105248,100066,5182,4529,1075,1,68,222,56,"",""
"dreamcast/kgl/benchmarks/quadmark/quadmark.elf",1,1276,1276,109,0,93741,90886,2855,4461,1071,1,54,242,58,"",""
"dreamcast/kgl/benchmarks/trimark/trimark.elf",1,1276,1276,109,0,93733,90883,2850,4460,1070,1,54,242,58,"",""
