path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"/mnt/data/kos_corpus/dreamcast/2ndmix/2ndmix.elf",1,1219,1219,12,0,89563,89540,23,4377,1054,1,88,2,122,"",""
"/mnt/data/kos_corpus/dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,12,0,87775,87752,23,4287,1022,1,3,0,2,"",""
"/mnt/data/kos_corpus/dreamcast/basic/breaking/breaking.elf",1,1214,1214,12,0,88596,88573,23,4329,1031,1,41,0,40,"",""
"/mnt/data/kos_corpus/dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,12,0,87879,87856,23,4297,1023,1,47,0,44,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/exec.elf",1,1208,1208,12,0,87763,87740,23,4288,1020,1,92,3,109,"",""
"/mnt/data/kos_corpus/dreamcast/basic/exec/sub.elf",1,1207,1207,12,0,87715,87692,23,4281,1019,1,1,0,1,"",""
"/mnt/data/kos_corpus/dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,12,0,88039,88016,23,4300,1031,1,59,0,61,"",""
"/mnt/data/kos_corpus/dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,12,0,87962,87939,23,4304,1038,1,15,0,28,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,12,0,87880,87857,23,4300,1021,1,27,1,31,"",""
"/mnt/data/kos_corpus/dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,12,0,87960,87937,23,4304,1021,1,33,1,41,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,12,0,87798,87775,23,4290,1021,1,52,0,45,"",""
"/mnt/data/kos_corpus/dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,12,0,87720,87697,23,4282,1019,1,3,0,0,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,14,0,88661,88611,50,4350,1039,1,48,27,69,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,13,0,88509,88477,32,4346,1044,1,49,9,55,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,13,0,88001,87971,30,4310,1038,1,34,7,44,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,12,0,88176,88153,23,4357,1074,1,43,0,92,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/once/once_test.elf",1,1215,1215,12,0,88245,88222,23,4331,1027,1,56,0,52,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,12,0,88056,88033,23,4339,1049,1,52,0,71,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/reentrant_mutex/reentrant_mutex.elf",1,1214,1214,14,0,88297,88268,29,4331,1035,1,43,0,43,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/rwsem/rwsem_test.elf",1,1223,1223,12,0,88826,88803,23,4400,1068,1,54,0,76,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/spinlock_test/spinlock_test.elf",1,1210,1210,12,0,88349,88326,23,4318,1048,1,34,0,29,"",""
"/mnt/data/kos_corpus/dreamcast/basic/threading/tls/tls_test.elf",1,1220,1220,13,0,88646,88620,26,4371,1044,1,82,0,95,"",""
"/mnt/data/kos_corpus/dreamcast/basic/watchdog/watchdog.elf",1,1213,1213,13,0,87988,87962,26,4305,1033,1,61,0,62,"",""
"/mnt/data/kos_corpus/dreamcast/cdrom/stream/cd-stream-test.elf",1,1210,1210,12,0,88124,88101,23,4333,1052,1,43,0,80,"",""
"/mnt/data/kos_corpus/dreamcast/conio/adventure/adventure.elf",1,1286,1286,12,0,96940,96917,23,4747,1184,1,136,0,224,"",""
"/mnt/data/kos_corpus/dreamcast/conio/basic/basic.elf",1,1228,1228,12,0,89181,89158,23,4367,1046,1,60,0,66,"",""
"/mnt/data/kos_corpus/dreamcast/conio/kosh/kosh.elf",1,1265,1265,12,0,91010,90987,23,4522,1101,1,76,0,99,"",""
"/mnt/data/kos_corpus/dreamcast/conio/wump/wump.elf",1,1240,1240,12,0,91695,91672,23,4492,1115,1,86,0,126,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/clock/clock.elf",1,1449,1449,13,0,106000,105969,31,4962,1198,1,123,0,111,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/concurrency/concurrency.elf",1,2627,2627,32,0,210839,210659,180,10249,2830,1,134,12,128,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/dcplib/fnt_test.elf",1,1442,1442,13,0,106016,105985,31,4963,1204,1,123,0,112,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/gltest/gltest.elf",1,1522,1522,19,0,122184,122104,80,5212,1295,1,175,13,208,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/modplug_test/example.elf",1,1574,1574,14,0,141271,141237,34,5215,1244,1,127,0,243,"",""
"/mnt/data/kos_corpus/dreamcast/cpp/out_of_memory/out_of_memory.elf",1,1674,1674,7,0,142057,142037,20,6297,1893,1,125,0,105,"",""
"/mnt/data/kos_corpus/dreamcast/dev/devroot/devroot.elf",1,1216,1216,12,0,88137,88114,23,4321,1027,1,26,0,35,"",""
"/mnt/data/kos_corpus/dreamcast/dev/random/random.elf",1,1207,1207,12,0,87911,87888,23,4302,1021,1,40,0,30,"",""
"/mnt/data/kos_corpus/dreamcast/dreameye/basic/dreameye.elf",1,1213,1213,12,0,88438,88415,23,4340,1035,1,58,0,58,"",""
"/mnt/data/kos_corpus/dreamcast/dreameye/sd/dreameye-sd.elf",1,1288,1288,12,0,99345,99322,23,5181,1196,1,100,0,163,"",""
"/mnt/data/kos_corpus/dreamcast/filesystem/browse/browse.elf",1,1299,1299,12,0,99723,99700,23,4966,1170,1,127,0,220,"",""
"/mnt/data/kos_corpus/dreamcast/filesystem/pty/pty.elf",1,1210,1210,12,0,87904,87881,23,4302,1024,1,70,0,79,"",""
