path,loaded,symbol_functions,scanned_functions,functions_with_unknown,analysis_failures,instructions,known,unknown,calls,unresolved_calls,has_main,main_reachable_functions,main_raw_dcir,main_external_calls,error,main_error
"dreamcast/2ndmix/2ndmix.elf",1,1219,1219,353,0,89635,86166,3469,4377,1054,1,88,446,122,"",""
"dreamcast/basic/asserthnd/asserthnd.elf",1,1211,1211,344,0,87847,84729,3118,4287,1022,1,3,1,2,"",""
"dreamcast/basic/breaking/breaking.elf",1,1214,1214,344,0,88668,85550,3118,4329,1031,1,41,213,40,"",""
"dreamcast/basic/dma/speedtest/speedtest.elf",1,1209,1209,345,0,87951,84822,3129,4297,1023,1,47,325,44,"",""
"dreamcast/basic/exec/exec.elf",1,1208,1208,344,0,87835,84717,3118,4288,1020,1,92,363,109,"",""
"dreamcast/basic/exec/sub.elf",1,1207,1207,344,0,87787,84669,3118,4281,1019,1,1,0,1,"",""
"dreamcast/basic/fpu/exc/fpu_exc.elf",1,1213,1213,351,0,88111,84892,3219,4300,1031,1,59,418,61,"",""
"dreamcast/basic/memtest32/memtest32.elf",1,1210,1210,344,0,88034,84916,3118,4304,1038,1,15,10,28,"",""
"dreamcast/basic/mmu/nullptr/nullptr.elf",1,1208,1208,345,0,87952,84833,3119,4300,1021,1,27,154,31,"",""
"dreamcast/basic/mmu/pvrmap/pvrmap.elf",1,1207,1207,345,0,88032,84909,3123,4304,1021,1,33,222,41,"",""
"dreamcast/basic/stackprotector/stackprotector.elf",1,1210,1210,344,0,87870,84752,3118,4290,1021,1,52,385,45,"",""
"dreamcast/basic/stacktrace/stacktrace.elf",1,1208,1208,344,0,87792,84674,3118,4282,1019,1,3,2,0,"",""
"dreamcast/basic/threading/atomics/atomics.elf",1,1218,1218,350,0,88733,85574,3159,4350,1039,1,48,396,69,"",""
"dreamcast/basic/threading/barrier/barrier.elf",1,1216,1216,347,0,88581,85451,3130,4346,1044,1,49,264,55,"",""
"dreamcast/basic/threading/compiler_tls/compiler_tls.elf",1,1208,1208,345,0,88073,84948,3125,4310,1038,1,34,220,44,"",""
"dreamcast/basic/threading/general/general_threading_test.elf",1,1211,1211,346,0,88248,85122,3126,4357,1074,1,43,221,92,"",""
"dreamcast/basic/threading/once/once_test.elf",1,1215,1215,346,0,88317,85196,3121,4331,1027,1,56,281,52,"",""
"dreamcast/basic/threading/recursive_lock/rlock_test.elf",1,1210,1210,344,0,88128,85010,3118,4339,1049,1,52,231,71,"",""
