path,return_code,raw_sh4
dreamcast/2ndmix/2ndmix.elf,0,0
dreamcast/basic/asserthnd/asserthnd.elf,0,0
dreamcast/basic/breaking/breaking.elf,0,0
dreamcast/basic/dma/speedtest/speedtest.elf,0,0
dreamcast/basic/exec/exec.elf,0,0
dreamcast/basic/exec/sub.elf,0,0
dreamcast/basic/fpu/exc/fpu_exc.elf,0,0
dreamcast/basic/memtest32/memtest32.elf,0,0
dreamcast/basic/mmu/nullptr/nullptr.elf,0,0
dreamcast/basic/mmu/pvrmap/pvrmap.elf,0,0
dreamcast/basic/stackprotector/stackprotector.elf,0,0
dreamcast/basic/stacktrace/stacktrace.elf,0,0
dreamcast/basic/threading/atomics/atomics.elf,0,0
dreamcast/basic/threading/barrier/barrier.elf,0,0
dreamcast/basic/threading/compiler_tls/compiler_tls.elf,0,0
dreamcast/basic/threading/general/general_threading_test.elf,0,0
dreamcast/basic/threading/once/once_test.elf,0,0
dreamcast/basic/threading/recursive_lock/rlock_test.elf,0,0
dreamcast/basic/threading/reentrant_mutex/reentrant_mutex.elf,0,0
dreamcast/basic/threading/rwsem/rwsem_test.elf,0,0
dreamcast/basic/threading/spinlock_test/spinlock_test.elf,0,0
dreamcast/basic/threading/tls/tls_test.elf,0,0
dreamcast/basic/watchdog/watchdog.elf,0,0
dreamcast/cdrom/stream/cd-stream-test.elf,0,0
dreamcast/conio/adventure/adventure.elf,0,0
dreamcast/conio/basic/basic.elf,0,0
dreamcast/conio/kosh/kosh.elf,0,0
dreamcast/conio/wump/wump.elf,0,0
dreamcast/cpp/clock/clock.elf,0,0
dreamcast/cpp/concurrency/concurrency.elf,0,0
dreamcast/cpp/dcplib/fnt_test.elf,0,0
dreamcast/cpp/gltest/gltest.elf,0,0
dreamcast/cpp/modplug_test/example.elf,0,0
dreamcast/cpp/out_of_memory/out_of_memory.elf,0,0
dreamcast/dev/devroot/devroot.elf,0,0
dreamcast/dev/random/random.elf,0,0
dreamcast/dreameye/basic/dreameye.elf,0,0
dreamcast/dreameye/sd/dreameye-sd.elf,0,0
dreamcast/filesystem/browse/browse.elf,0,0
dreamcast/filesystem/pty/pty.elf,0,0
dreamcast/filesystem/sd/ext2fs/sd-ext2fs.elf,0,0
dreamcast/filesystem/sd/mke2fs/mke2fs.elf,0,0
dreamcast/filesystem/sd/speedtest/sd-speedtest.elf,0,0
dreamcast/g1ata/atatest/atatest.elf,0,0
dreamcast/gldc/2D_tex_quad/2D_tex_quad.elf,0,0
dreamcast/gldc/basic/gl/gltest.elf,0,0
dreamcast/gldc/basic/vq/vq-example.elf,0,0
dreamcast/gldc/benchmarks/quadmark/quadmark.elf,0,0
dreamcast/gldc/benchmarks/trimark/trimark.elf,0,0
dreamcast/gldc/benchmarks/tristripmark/tristripmark.elf,0,0
dreamcast/gldc/nehe/nehe02/nehe02.elf,0,0
dreamcast/gldc/nehe/nehe05/nehe05.elf,0,0
dreamcast/gldc/nehe/nehe06/nehe06.elf,0,0
dreamcast/gldc/nehe/nehe08/nehe08.elf,0,0
dreamcast/gldc/nehe/nehe09/nehe09.elf,0,0
dreamcast/gldc/nehe/nehe16/nehe16.elf,0,0
dreamcast/gldc/nehe/nehe26/nehe26.elf,0,0
dreamcast/hello/hello.elf,0,0
dreamcast/keyboard/keyrawtest/keyrawtest.elf,0,0
dreamcast/keyboard/keytest/keytest.elf,0,0
dreamcast/kgl/basic/elements/gl-elements.elf,0,0
dreamcast/kgl/basic/gl/gltest.elf,0,0
dreamcast/kgl/basic/scissor/scissor.elf,0,0
dreamcast/kgl/basic/txrenv/gltest.elf,0,0
dreamcast/kgl/basic/vq/vq-example.elf,0,0
dreamcast/kgl/basic/zclip_arrays/gl-arrays.elf,0,0
dreamcast/kgl/benchmarks/quadmark/quadmark.elf,0,0
dreamcast/kgl/benchmarks/trimark/trimark.elf,0,0
dreamcast/kgl/benchmarks/tristripmark/tristripmark.elf,0,0
dreamcast/kgl/demos/blur/radial_blur.elf,0,0
dreamcast/kgl/demos/mipmap/gl-mipmap.elf,0,0
dreamcast/kgl/demos/multitexture-arrays/gl-multitex-arrays.elf,0,0
dreamcast/kgl/demos/multitexture-elements/gl-multitex-elements.elf,0,0
dreamcast/kgl/demos/specular/specular.elf,0,0
dreamcast/kgl/nehe/nehe02/nehe02.elf,0,0
dreamcast/kgl/nehe/nehe05/nehe05.elf,0,0
dreamcast/kgl/nehe/nehe06/nehe06.elf,0,0
dreamcast/kgl/nehe/nehe08/nehe08.elf,0,0
dreamcast/kgl/nehe/nehe09/nehe09.elf,0,0
dreamcast/kgl/nehe/nehe16/nehe16.elf,0,0
