elf,return_code,reachable_functions,raw_sh4
dreamcast/gldc/nehe/nehe16/nehe16.elf,0,377,0
dreamcast/gldc/nehe/nehe26/nehe26.elf,0,342,0
dreamcast/hello/hello.elf,0,1,0
dreamcast/keyboard/keyrawtest/keyrawtest.elf,0,115,0
dreamcast/keyboard/keytest/keytest.elf,0,115,0
dreamcast/kgl/basic/elements/gl-elements.elf,0,337,0
dreamcast/kgl/basic/gl/gltest.elf,0,355,0
dreamcast/kgl/basic/scissor/scissor.elf,0,359,0
dreamcast/kgl/basic/txrenv/gltest.elf,0,347,0
dreamcast/kgl/basic/vq/vq-example.elf,0,277,0
dreamcast/kgl/basic/zclip_arrays/gl-arrays.elf,0,335,0
dreamcast/kgl/benchmarks/quadmark/quadmark.elf,0,252,0
dreamcast/kgl/benchmarks/trimark/trimark.elf,0,252,0
dreamcast/kgl/benchmarks/tristripmark/tristripmark.elf,0,252,0
dreamcast/kgl/demos/blur/radial_blur.elf,0,363,0
dreamcast/kgl/demos/mipmap/gl-mipmap.elf,0,335,0
dreamcast/kgl/demos/multitexture-arrays/gl-multitex-arrays.elf,0,338,0
dreamcast/kgl/demos/multitexture-elements/gl-multitex-elements.elf,0,338,0
dreamcast/kgl/demos/specular/specular.elf,0,393,0
dreamcast/kgl/nehe/nehe02/nehe02.elf,0,244,0
dreamcast/kgl/nehe/nehe05/nehe05.elf,0,259,0
dreamcast/kgl/nehe/nehe06/nehe06.elf,0,348,0
dreamcast/kgl/nehe/nehe08/nehe08.elf,0,356,0
dreamcast/kgl/nehe/nehe09/nehe09.elf,0,350,0
dreamcast/kgl/nehe/nehe16/nehe16.elf,0,363,0
dreamcast/kgl/nehe/nehe26/nehe26.elf,0,324,0
dreamcast/libdream/320x240/320x240.elf,0,171,0
dreamcast/libdream/640x480/640x480.elf,0,163,0
dreamcast/libdream/cdfs/cdfs.elf,0,118,0
dreamcast/libdream/keyboard/keyboard.elf,0,123,0
dreamcast/libdream/lcd/lcd.elf,0,110,0
dreamcast/libdream/mouse/mouse.elf,0,127,0
dreamcast/libdream/rgb888/rgb888.elf,0,110,0
dreamcast/libdream/spu/spu.elf,0,126,0
dreamcast/libdream/ta/ta.elf,0,185,0
dreamcast/libdream/vmu/vmu.elf,0,125,0
dreamcast/library/library-test.elf,0,148,0
dreamcast/lightgun/basic/lightgun.elf,0,145,0
dreamcast/lua/basic/lua.elf,0,549,0
dreamcast/micropython/micropython.elf,0,357,0
dreamcast/modem/basic/basic.elf,0,201,0
dreamcast/modem/ppp/ppp.elf,0,261,0
dreamcast/network/basic/basic.elf,0,101,0
dreamcast/network/dns-client/dns-client.elf,0,145,0
dreamcast/network/httpd/httpd.elf,0,193,0
dreamcast/network/isp-settings/isp-settings.elf,0,101,0
dreamcast/network/ntp/ntp.elf,0,196,0
dreamcast/network/ping/ping.elf,0,133,0
dreamcast/network/ping6/ping.elf,0,152,0
dreamcast/network/speedtest/speedtest.elf,0,220,0
dreamcast/network/udpecho6/echo.elf,0,210,0
dreamcast/parallax/bubbles/bubbles.elf,0,186,0
dreamcast/parallax/delay_cube/delay_cube.elf,0,191,0
dreamcast/parallax/font/font.elf,0,228,0
dreamcast/parallax/raster_melt/raster_melt.elf,0,680,0
dreamcast/parallax/rotocube/rotocube.elf,0,190,0
dreamcast/parallax/serpent_dma/serpent.elf,0,251,0
dreamcast/parallax/sinus/sinus.elf,0,171,0
dreamcast/png/example.elf,0,500,0
dreamcast/pthread/general/general_pthread_test.elf,0,163,0
dreamcast/pvr/bumpmap/bump.elf,0,250,0
dreamcast/pvr/cheap_shadow/shadow.elf,0,176,0
dreamcast/pvr/modifier_volume/modifier.elf,0,175,0
dreamcast/pvr/modifier_volume_tex/modifier.elf,0,212,0
dreamcast/pvr/modifier_volume_zclip/example.elf,0,461,0
dreamcast/pvr/palette/4bpp/4bpp.elf,0,176,0
dreamcast/pvr/palette/8bpp/8bpp.elf,0,176,0
dreamcast/pvr/palette/wormhole/wormhole.elf,0,183,0
dreamcast/pvr/plasma/plasma.elf,0,185,0
dreamcast/pvr/pvrline/pvrline.elf,0,182,0
dreamcast/pvr/pvrmark/pvrmark.elf,0,178,0
dreamcast/pvr/pvrmark_strips/pvrmark_strips.elf,0,179,0
dreamcast/pvr/pvrmark_strips_direct/pvrmark_strips_direct.elf,0,176,0
dreamcast/pvr/texture_render/texture_render.elf,0,199,0
dreamcast/pvr/yuv_converter/YUV420/yuv420.elf,0,236,0
dreamcast/pvr/yuv_converter/YUV422/yuv422.elf,0,239,0
dreamcast/raylib/raytris/raytris.elf,0,669,0
dreamcast/rumble/rumble.elf,0,225,0
dreamcast/sdl/sound/sdl_sound.elf,0,341,0
dreamcast/sound/cdda/basic_cdda/basic_cdda.elf,0,122,0
dreamcast/sound/ghettoplay-vorbis/ghettoplay.elf,0,472,0
dreamcast/sound/hello-adx/libADXplay.elf,0,251,0
dreamcast/sound/hello-mp3/mp3test.elf,0,292,0
dreamcast/sound/hello-ogg/vorbistest.elf,0,372,0
dreamcast/sound/hello-opus/opustest.elf,0,469,0
dreamcast/sound/multi-stream/multistream.elf,0,230,0
dreamcast/sound/sfx/sfx.elf,0,182,0
dreamcast/sound/sfxbuf/sfxbuf.elf,0,183,0
dreamcast/tsunami/banner/banner.elf,0,819,0
dreamcast/tsunami/font/font.elf,0,800,0
dreamcast/tsunami/genmenu/genmenu.elf,0,310,0
dreamcast/video/bfont/bfont.elf,0,144,0
dreamcast/video/minifont/minifont.elf,0,101,0
dreamcast/video/multibuffer/multibuffer.elf,0,172,0
dreamcast/video/palmenu/palmenu.elf,0,124,0
dreamcast/video/screenshot/screenshot.elf,0,156,0
dreamcast/vmu/vmu_beep/beep.elf,0,240,0
dreamcast/vmu/vmu_game/vmu_game.elf,0,210,0
dreamcast/vmu/vmu_lcd/lcd.elf,0,152,0
dreamcast/vmu/vmu_pkg/vmu.elf,0,141,0
