elf,emit_ok,reachable_functions,raw_sh4,exit_code
pvr/plasma/plasma.elf,True,164,0,0
pvr/pvrline/pvrline.elf,True,161,0,0
pvr/pvrmark/pvrmark.elf,True,157,0,0
pvr/pvrmark_strips/pvrmark_strips.elf,True,158,0,0
pvr/pvrmark_strips_direct/pvrmark_strips_direct.elf,True,155,0,0
pvr/texture_render/texture_render.elf,True,178,0,0
pvr/yuv_converter/YUV420/yuv420.elf,True,216,0,0
pvr/yuv_converter/YUV422/yuv422.elf,True,219,0,0
raylib/raytris/raytris.elf,True,626,0,0
rumble/rumble.elf,True,205,0,0
sdl/sound/sdl_sound.elf,True,317,0,0
sound/cdda/basic_cdda/basic_cdda.elf,True,101,0,0
sound/ghettoplay-vorbis/ghettoplay.elf,True,391,0,0
sound/hello-adx/libADXplay.elf,True,232,0,0
sound/hello-mp3/mp3test.elf,True,267,0,0
sound/hello-ogg/vorbistest.elf,True,298,0,0
sound/hello-opus/opustest.elf,True,297,0,0
sound/multi-stream/multistream.elf,True,211,0,0
sound/sfx/sfx.elf,True,162,0,0
sound/sfxbuf/sfxbuf.elf,True,163,0,0
tsunami/banner/banner.elf,True,772,0,0
tsunami/font/font.elf,True,753,0,0
tsunami/genmenu/genmenu.elf,True,288,0,0
video/bfont/bfont.elf,True,124,0,0
video/minifont/minifont.elf,True,80,0,0
video/multibuffer/multibuffer.elf,True,152,0,0
video/palmenu/palmenu.elf,True,103,0,0
video/screenshot/screenshot.elf,True,136,0,0
vmu/vmu_beep/beep.elf,True,221,0,0
vmu/vmu_game/vmu_game.elf,True,173,0,0
vmu/vmu_lcd/lcd.elf,True,132,0,0
vmu/vmu_pkg/vmu.elf,True,121,0,0
