DreamcastRecomp Corpus Scanner 0.0.45
===================================
ELF encontrados: 155

[96/155] basic.elf  funcs=1272 unknown=0 main_raw=0
[97/155] ppp.elf  funcs=1478 unknown=0 main_raw=0
[98/155] basic.elf  funcs=1358 unknown=0 main_raw=0
[99/155] dns-client.elf  funcs=1367 unknown=0 main_raw=0
[100/155] httpd.elf  funcs=1371 unknown=0 main_raw=0
[101/155] isp-settings.elf  funcs=1208 unknown=0 main_raw=0
[102/155] ntp.elf  funcs=1375 unknown=0 main_raw=0
[103/155] ping.elf  funcs=1357 unknown=0 main_raw=0
[104/155] ping.elf  funcs=1360 unknown=0 main_raw=0
[105/155] speedtest.elf  funcs=1368 unknown=0 main_raw=0
[106/155] echo.elf  funcs=1362 unknown=0 main_raw=0
[107/155] bubbles.elf  funcs=1223 unknown=0 main_raw=0
[108/155] delay_cube.elf  funcs=1227 unknown=0 main_raw=0
[109/155] font.elf  funcs=1222 unknown=0 main_raw=0
[110/155] raster_melt.elf  funcs=1616 unknown=0 main_raw=0
[111/155] rotocube.elf  funcs=1226 unknown=0 main_raw=0
[112/155] serpent.elf  funcs=1250 unknown=0 main_raw=0
[113/155] sinus.elf  funcs=1214 unknown=0 main_raw=0
[114/155] example.elf  funcs=1464 unknown=0 main_raw=0
[115/155] general_pthread_test.elf  funcs=1235 unknown=0 main_raw=0
[116/155] bump.elf  funcs=1217 unknown=0 main_raw=0
[117/155] shadow.elf  funcs=1213 unknown=0 main_raw=0
[118/155] modifier.elf  funcs=1214 unknown=0 main_raw=0
[119/155] modifier.elf  funcs=1218 unknown=0 main_raw=0
[120/155] example.elf  funcs=1410 unknown=0 main_raw=0
[121/155] 4bpp.elf  funcs=1208 unknown=0 main_raw=0
[122/155] 8bpp.elf  funcs=1208 unknown=0 main_raw=0
[123/155] wormhole.elf  funcs=1212 unknown=0 main_raw=0
[124/155] plasma.elf  funcs=1213 unknown=0 main_raw=0
[125/155] pvrline.elf  funcs=1209 unknown=0 main_raw=0
[126/155] pvrmark.elf  funcs=1212 unknown=0 main_raw=0
[127/155] pvrmark_strips.elf  funcs=1212 unknown=0 main_raw=0
[128/155] pvrmark_strips_direct.elf  funcs=1210 unknown=0 main_raw=0
[129/155] texture_render.elf  funcs=1212 unknown=0 main_raw=0
[130/155] yuv420.elf  funcs=1209 unknown=0 main_raw=0
[131/155] yuv422.elf  funcs=1210 unknown=0 main_raw=0
[132/155] raytris.elf  funcs=2692 unknown=0 main_raw=0
[133/155] rumble.elf  funcs=1230 unknown=0 main_raw=0
[134/155] sdl_sound.elf  funcs=1409 unknown=0 main_raw=0
[135/155] basic_cdda.elf  funcs=1208 unknown=0 main_raw=0
[136/155] ghettoplay.elf  funcs=1428 unknown=0 main_raw=0
[137/155] libADXplay.elf  funcs=1223 unknown=0 main_raw=0
[138/155] mp3test.elf  funcs=1361 unknown=0 main_raw=0
[139/155] vorbistest.elf  funcs=1324 unknown=0 main_raw=0
[140/155] opustest.elf  funcs=1417 unknown=0 main_raw=0
[141/155] multistream.elf  funcs=1221 unknown=0 main_raw=0
[142/155] sfx.elf  funcs=1208 unknown=0 main_raw=0
[143/155] sfxbuf.elf  funcs=1209 unknown=0 main_raw=0
[144/155] banner.elf  funcs=2006 unknown=0 main_raw=0
[145/155] font.elf  funcs=1871 unknown=0 main_raw=0
[146/155] genmenu.elf  funcs=1602 unknown=0 main_raw=0
[147/155] bfont.elf  funcs=1208 unknown=0 main_raw=0
[148/155] minifont.elf  funcs=1209 unknown=0 main_raw=0
[149/155] multibuffer.elf  funcs=1207 unknown=0 main_raw=0
[150/155] palmenu.elf  funcs=1207 unknown=0 main_raw=0
[151/155] screenshot.elf  funcs=1207 unknown=0 main_raw=0
[152/155] beep.elf  funcs=1226 unknown=0 main_raw=0
[153/155] vmu_game.elf  funcs=1212 unknown=0 main_raw=0
[154/155] lcd.elf  funcs=1223 unknown=0 main_raw=0
[155/155] vmu.elf  funcs=1213 unknown=0 main_raw=0
DreamcastRecomp 0.0.45 - KallistiOS corpus compatibility
=========================================================
ELF encontrados:                155
ELF cargados:                   155
ELF ISA-clean (all functions):  155
Funciones escaneadas:           202431
Instrucciones conocidas:        17953662
Instrucciones desconocidas:     0
_main call graphs escaneados:   155
_main con RAW_SH4=0:             155
Tiempo:                          20.98 s

NOTA: ISA-clean significa que el decoder/DCIR no encontro opcodes desconocidos en las funciones simbolizadas.
No implica que el programa completo ya pueda ejecutarse: pueden faltar servicios KOS/MMIO/PVR/AICA/etc.

Top familias desconocidas alcanzables desde _main
==================================================

Top raw words desconocidos alcanzables desde _main
====================================================

Top familias desconocidas en todas las funciones simbolizadas
==========================================================

Top raw words SH-4 desconocidos en todas las funciones simbolizadas
=================================================================

Reportes:
  corpus_report.txt
  corpus_report.csv
